gateway,version,check,result,evidence
bifrost,1.6.8,P1_admin_unauth_reachability,reachable-unauthenticated,"GET http://ep06-gw-bifrost:8080/api/config -> HTTP 200, body_bytes=1710, returned_data=True"
bifrost,1.6.8,P2_version_in_patched_range,no-advisory-tracked,version=1.6.8; this lab tracks no CVE range for 'bifrost' -- recorded honestly rather than assumed safe
bifrost,1.6.8,P3_digest_pinning,fully-pinned,"image: entries=1 (pinned_by_digest=1, floating_tag=0: []); build: contexts=7 (base-image pinning lives in each Dockerfile's FROM line, not visible to this check since only docker-compose.yml is mounted into the runner -- verify gateways/*/Dockerfile and stub-model/Dockerfile etc. directly)"
bifrost,1.6.8,P1_admin_unauth_reachability,reachable-unauthenticated,"GET http://ep06-gw-bifrost:8080/api/config -> HTTP 200, body_bytes=1710, returned_data=True"
bifrost,1.6.8,P2_version_in_patched_range,no-advisory-tracked,version=1.6.8; this lab tracks no CVE range for 'bifrost' -- recorded honestly rather than assumed safe
bifrost,1.6.8,P3_digest_pinning,fully-pinned,"image: entries=1 (pinned_by_digest=1, floating_tag=0: []); build: contexts=7 (base-image pinning lives in each Dockerfile's FROM line, not visible to this check since only docker-compose.yml is mounted into the runner -- verify gateways/*/Dockerfile and stub-model/Dockerfile etc. directly)"
litellm,1.83.7-stable,P1_admin_unauth_reachability,protected-or-error,"GET http://ep06-gw-litellm:4000/model/info -> HTTP 401, body_bytes=115, returned_data=True"
litellm,1.83.7-stable,P2_version_in_patched_range,in-patched-range,"version=1.83.7-stable, min_patched=1.83.7-stable, advisory=CVE-2026-42208 (pre-auth SQLi), CVE-2026-42203 (SSTI), CVE-2026-42271 (command injection)"
litellm,1.83.7-stable,P3_digest_pinning,fully-pinned,"image: entries=1 (pinned_by_digest=1, floating_tag=0: []); build: contexts=7 (base-image pinning lives in each Dockerfile's FROM line, not visible to this check since only docker-compose.yml is mounted into the runner -- verify gateways/*/Dockerfile and stub-model/Dockerfile etc. directly)"
litellm,1.83.7-stable,P1_admin_unauth_reachability,protected-or-error,"GET http://ep06-gw-litellm:4000/model/info -> HTTP 401, body_bytes=115, returned_data=True"
litellm,1.83.7-stable,P2_version_in_patched_range,in-patched-range,"version=1.83.7-stable, min_patched=1.83.7-stable, advisory=CVE-2026-42208 (pre-auth SQLi), CVE-2026-42203 (SSTI), CVE-2026-42271 (command injection)"
litellm,1.83.7-stable,P3_digest_pinning,fully-pinned,"image: entries=1 (pinned_by_digest=1, floating_tag=0: []); build: contexts=7 (base-image pinning lives in each Dockerfile's FROM line, not visible to this check since only docker-compose.yml is mounted into the runner -- verify gateways/*/Dockerfile and stub-model/Dockerfile etc. directly)"
none,n/a (baseline: victim-app -> stub-model directly),P1_admin_unauth_reachability,reachable-unauthenticated,"GET http://ep06-gw-portkey:8787/public/ -> HTTP 200, body_bytes=75930, returned_data=True"
none,n/a (baseline: victim-app -> stub-model directly),P2_version_in_patched_range,no-advisory-tracked,version=n/a (baseline: victim-app -> stub-model directly); this lab tracks no CVE range for 'none' -- recorded honestly rather than assumed safe
none,n/a (baseline: victim-app -> stub-model directly),P3_digest_pinning,fully-pinned,"image: entries=1 (pinned_by_digest=1, floating_tag=0: []); build: contexts=7 (base-image pinning lives in each Dockerfile's FROM line, not visible to this check since only docker-compose.yml is mounted into the runner -- verify gateways/*/Dockerfile and stub-model/Dockerfile etc. directly)"
portkey,1.15.2,P1_admin_unauth_reachability,reachable-unauthenticated,"GET http://ep06-gw-portkey:8787/public/ -> HTTP 200, body_bytes=75930, returned_data=True"
portkey,1.15.2,P2_version_in_patched_range,no-advisory-tracked,version=1.15.2; this lab tracks no CVE range for 'portkey' -- recorded honestly rather than assumed safe
portkey,1.15.2,P3_digest_pinning,fully-pinned,"image: entries=1 (pinned_by_digest=1, floating_tag=0: []); build: contexts=7 (base-image pinning lives in each Dockerfile's FROM line, not visible to this check since only docker-compose.yml is mounted into the runner -- verify gateways/*/Dockerfile and stub-model/Dockerfile etc. directly)"
portkey,1.15.2,P1_admin_unauth_reachability,reachable-unauthenticated,"GET http://ep06-gw-portkey:8787/public/ -> HTTP 200, body_bytes=75930, returned_data=True"
portkey,1.15.2,P2_version_in_patched_range,no-advisory-tracked,version=1.15.2; this lab tracks no CVE range for 'portkey' -- recorded honestly rather than assumed safe
portkey,1.15.2,P3_digest_pinning,fully-pinned,"image: entries=1 (pinned_by_digest=1, floating_tag=0: []); build: contexts=7 (base-image pinning lives in each Dockerfile's FROM line, not visible to this check since only docker-compose.yml is mounted into the runner -- verify gateways/*/Dockerfile and stub-model/Dockerfile etc. directly)"
